show_id,type,title,country,director,cast,date_added,release_year,rating,duration,listed_in,count,description
s2042,Movie,Even the Rain,"Spain, Mexico, France",Icíar Bollaín,"Luis Tosar, Gael García Bernal, Juan Carlos Aduviri, Karra Elejalde, Raúl Arévalo, Carlos Santos, Cassandra Ciangherotti, Milena Soliz, Leónidas Chiri, Vicente Romero, Daniel Currás, Pau Cólera","May 17, 2011",2010,TV-MA,103 min,"Dramas, International Movies",1,"While making a film about the incursion of Christopher Columbus in the New World, a director finds the Bolivian locals protesting modern exploitation."
s2043,Movie,Evening Shadows,India,Sridhar Rangayan,"Mona Ambegaonkar, Anant Mahadevan, Devansh Doshi, Arpit Chaudhary, Yamini Singh, Abhay Kulkarni, Veena Nair, Disha Thakur","February 27, 2019",2018,TV-PG,102 min,"Dramas, Independent Movies, International Movies",1,"When her son comes out to her as gay, a religious mother struggles to reconcile his truth with her own beliefs and their orthodox family values."
s2044,Movie,Event Horizon,"United Kingdom, United States",Paul W.S. Anderson,"Laurence Fishburne, Sam Neill, Kathleen Quinlan, Joely Richardson, Richard T. Jones, Jack Noseworthy, Jason Isaacs, Sean Pertwee","January 1, 2020",1997,R,96 min,"Horror Movies, Sci-Fi & Fantasy",1,"After a signal is received from a long-missing spaceship, a rescue ship investigates, but the crew soon realizes something unimaginable has happened."
s2045,TV Show,Ever After High,Canada,,"Jonquil Goode, Karen Strassman, Audu Paden, Julie Maddalena, Marieve Herington, Rena Strober, Evan Smith, Wendee Lee, Haviland Stillwell, Valerie Arem, Cam Clarke, Colleen Foy, Cindy Robinson, Joe Sanfelippo, Jamieson Price, Debi Derryberry, Lindsey Ames, Rajo Zakic, Erin Fitzgerald, Malcolm Danare","August 6, 2020",2016,TV-Y7,5 Seasons,Kids' TV,1,The kids of fairy-tale characters attend a school with two cliques: those who accept their fairy-tale destinies and those who want to write their own.
s2046,Movie,Every Time I Die,United States,Robi Michael,"Drew Fonteiro, Marc Menchaca, Michelle Macedo, Tyler Fleming, Melissa Macedo, Kenneth Moronta, Frankie Hinton","February 25, 2020",2019,TV-MA,98 min,"Dramas, Independent Movies, Thrillers",1,"After a paramedic’s violent death during a weekend trip, his spirit inhabits his friends’ bodies in an effort to save them from a similar fate."
s2047,Movie,Everybody Knows,"Spain, France, Italy",Asghar Farhadi,"Penélope Cruz, Javier Bardem, Ricardo Darín, Eduard Fernández, Bárbara Lennie, Inma Cuesta, Elvira Mínguez, Ramón Barea, Carla Campra, Sara Sálamo, Roger Casamajor, José Ángel Egido","June 6, 2019",2019,R,133 min,"Dramas, International Movies, Thrillers",1,"Journeying back to her small Spanish hometown for her sister's wedding, Laura must grapple with long-buried secrets when her daughter is abducted."
s2048,Movie,Everyday I Love You,Philippines,Mae Czarina Cruz,"Enrique Gil, Liza Soberano, Gerald Anderson, Aiko Melendez, Carmina Villaroel, Ariel Rivera, Marissa Delgado, Liza Lorena","March 4, 2019",2015,TV-14,124 min,"Dramas, International Movies, Romantic Movies",1,"While patiently waiting for her boyfriend to come out of his coma, Audrey finds herself falling for the caring and successful Ethan."
s2049,TV Show,Everyday Miracles,United Kingdom,,Mark Miodownik,"August 1, 2017",2014,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows",1,Materials scientist Mark Miodownik takes us into the world of everyday objects that make our lives more comfortable than those of our ancestors.
s2050,Movie,Everything About Her,Philippines,Joyce Bernal,"Angel Locsin, Xian Lim, Vilma Santos, Michael De Mesa, Nonie Buencamino, Khalil Ramos, Devon Seron, Alexa Ilacad, Nor Domingo, Robert Villar","March 14, 2019",2016,TV-MA,127 min,"Comedies, Dramas, International Movies",1,A hard-driving real estate tycoon who becomes ill with cancer hires a medical caretaker who helps her begin to mend fences with her estranged son.
s2051,TV Show,Everything Sucks!,United States,,"Jahi Di'Allo Winston, Peyton Kennedy, Patch Darragh, Claudine Mboligikpelani Nako, Rio Mangini, Quinn Liebling, Sydney Sweeney, Elijah Stevenson, Zachary Ray Sherman, Abi Brittle","February 16, 2018",2018,TV-14,1 Season,"TV Comedies, TV Dramas, Teen TV Shows",1,"It's 1996 in a town called Boring, where high school misfits in the AV and drama clubs brave the ups and downs of teenage life in the VHS era."
s2052,TV Show,Evil,United States,,"Katja Herbers, Mike Colter, Aasif Mandvi, Michael Emerson, Christine Lahti, Kurt Fuller, Marti Matulis","October 1, 2020",2019,TV-14,1 Season,TV Dramas,1,A forensic psychologist partners with a Catholic priest-in-training to investigate miracles and demonic possession in this supernatural drama.
s2053,TV Show,Evil Genius,United States,"Trey Borzillieri, Barbara Schroeder",,"May 11, 2018",2018,TV-MA,1 Season,"Crime TV Shows, Docuseries, TV Mysteries",1,This baffling true crime story starts with the grisly death of a pizza man who robs a bank with a bomb around his neck – and gets weirder from there.
s2054,Movie,Evolution,United States,Ivan Reitman,"David Duchovny, Julianne Moore, Orlando Jones, Seann William Scott, Ted Levine, Ethan Suplee, Michael Bower, Pat Kilbane, Ty Burrell, Dan Aykroyd","November 20, 2019",2001,PG-13,102 min,"Comedies, Sci-Fi & Fantasy",1,"After two community college geology professors discover microscopic alien life-forms on a meteorite, the military and government become involved."
s2055,Movie,Evvarikee Cheppoddu,India,Basava Shankar Eeday,"Rakesh Varre, Gargeyi, Vamsi raj Nekkanti, D P Ghani, K Prasanna","November 27, 2019",2019,TV-14,134 min,"Comedies, International Movies, Romantic Movies",1,"When caste differences throw a wrench into their otherwise blossoming relationship, a couple must somehow convince the girl’s father to let them marry."
s2056,Movie,Ex Machina,United Kingdom,Alex Garland,"Domhnall Gleeson, Alicia Vikander, Oscar Isaac, Sonoya Mizuno, Claire Selby, Symara Templeman, Gana Bayarsaikhan, Tiffany Pisani, Corey Johnson, Evie Wray, Deborah Rosan","July 26, 2018",2015,R,108 min,"Dramas, Independent Movies, International Movies",1,"A coder at a tech company wins a week-long retreat at the compound of his company's CEO, where he's tasked with testing a new artificial intelligence."
s2057,TV Show,Ex-Boyfriend,China,,"Tony Yang, Nana Lee, Jerry Huang, Liao Yi Chiao","January 1, 2017",2011,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",1,"Still haunted by the traumatic event that ended her high school romance, a young professional gets a new subordinate: her former sweetheart."
s2058,TV Show,Examination of Conscience,Spain,,,"January 25, 2019",2019,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",1,"Allegations of child sexual abuse in Spain's Catholic institutions are examined in interviews with survivors, clergy, journalists and other experts."
s2059,TV Show,Exclusive Edition,,James Lee,"Berg Lee, Yise Loo, Alvin Wong, Hady, Monday Kang, Ruobing, Wymen Yang, May June, Aenie Wong, Ernest Chong","August 14, 2017",2008,TV-14,1 Season,"International TV Shows, TV Dramas",1,"Young journalists working for a magazine juggle careers, romance and other challenges while reporting on social issues and news stories in Malaysia."
s2060,Movie,Executive Decision,United States,Stuart Baird,"Kurt Russell, Halle Berry, John Leguizamo, Oliver Platt, Steven Seagal, Joe Morton, David Suchet, BD Wong, Len Cariou, Whip Hubley","November 1, 2019",1996,R,133 min,Action & Adventure,1,"When terrorists hijack a 747 and turn it into a nerve gas bomb aimed at Washington, D.C., commandos use an experimental plane to try to stop them."
s2061,Movie,Exes Baggage,Philippines,Dan Villegas,"Angelica Panganiban, Carlo Aquino, Dionne Monsanto","October 22, 2020",2018,TV-MA,103 min,"Dramas, International Movies, Romantic Movies",1,"After years apart, a former couple reunites and gets reacquainted with the pains of love as they work to heal wounds from the past."
s2062,TV Show,Exhibit A,United States,,,"June 28, 2019",2019,TV-MA,1 Season,"Crime TV Shows, Docuseries, Science & Nature TV",1,This true crime series shows how innocent people have been convicted with dubious forensic techniques and tools such as touch DNA and cadaver dogs.
s2063,Movie,Exit Afghanistan,Norway,"Anders Sømme Hammer, Marius Arnesen, Klaus Erik Okstad, Olav Njaastad",,"July 1, 2016",2013,TV-MA,58 min,"Documentaries, International Movies",1,"Featuring interviews with participants on all sides, this documentary questions Norway and the West's protracted military involvement in Afghanistan."
s2064,Movie,Exit Strategy,United States,Michael Whitton,"Jameel Saleem, Kimelia Weathers, Quincy Harris, Big Boy, Kevin Hart, Misty Alli, Noelle Balfour, Sid Burston, Carlos Castillo, Liz Hernandez, Nick Sinise","March 3, 2019",2012,NR,79 min,"Comedies, Romantic Movies",1,"When James's living situation turns sour, he has little choice but to move in with his new girlfriend – a decision he almost immediately regrets."
s2065,Movie,Exit Wounds,United States,Andrzej Bartkowiak,"Steven Seagal, DMX, Isaiah Washington, Anthony Anderson, Michael Jai White, Bill Duke, Jill Hennessy, Tom Arnold, Bruce McGill, David Vadim, Eva Mendes","October 1, 2019",2001,R,101 min,Action & Adventure,1,Maverick cop Orin Boyd joins forces with an unlikely ally in gangster Latrell Walker to take down a group of dirty Detroit cops.
s2066,Movie,Expedition China,,Ben Wallis,Maggie Q,"March 4, 2018",2017,TV-G,78 min,Documentaries,1,"Cinematographers visit the remote forests and mountains of China in hopes of capturing footage of pandas, monkeys, red-crowned cranes and more."
s2067,Movie,Expedition Happiness,Germany,Selima Taibi,"Selima Taibi, Felix Starck","January 31, 2018",2017,TV-PG,96 min,"Documentaries, International Movies",1,"A filmmaker and his musician girlfriend attempt an epic road trip with their dog, traveling across North America in a refurbished school bus."
s2068,Movie,Expelled from Paradise,Japan,Seiji Mizushima,"Rie Kugimiya, Wendee Lee, Shinichiro Miki, Steve Blum, Hiroshi Kamiya, Johnny Yong Bosch","June 25, 2018",2014,TV-MA,103 min,"Action & Adventure, Anime Features, Sci-Fi & Fantasy",1,"In the wake of a global catastrophe, the human survivors are ""uploaded"" into a cyber network, but someone or something is infiltrating the system."
s2069,TV Show,Explained,United States,,,"September 26, 2019",2019,TV-MA,2 Seasons,"Docuseries, Science & Nature TV",1,"This enlightening series from Vox digs into a wide range of topics such as the rise of cryptocurrency, why diets fail, and the wild world of K-pop."
s2070,Movie,Expo,United States,Joseph Mbah,"Derek Davenport, Amelia Haberman, Shepsut Wilson, Titus Covington, Hayley Vrana, Michael Alvarez, Richard Lippert, Alfoniso Lopez","August 29, 2019",2019,TV-14,81 min,"Action & Adventure, Dramas, Independent Movies",1,"Mistakenly accused of kidnapping, a veteran soldier leaves a trail of broken bad guys in his wake as he tries to rescue a teen sex trafficking victim."
s2071,Movie,Extinction,United States,Ben Young,"Michael Peña, Lizzy Caplan, Israel Broussard, Mike Colter, Emma Booth, Lex Shrapnel, Erica Tremblay, Lilly Aspell","July 27, 2018",2018,TV-MA,95 min,"Action & Adventure, Dramas, Sci-Fi & Fantasy",1,"Plagued by dreams of an alien invasion, a family man faces his worst nightmare when an extraterrestrial force begins exterminating Earth's inhabitants."
s2072,Movie,Extraction,United States,Sam Hargrave,"Chris Hemsworth, Rudhraksh Jaiswal, Randeep Hooda, Golshifteh Farahani, Pankaj Tripathi, David Harbour","April 24, 2020",2020,R,117 min,Action & Adventure,1,A hardened mercenary's mission becomes a soul-searching race to survive when he's sent into Bangladesh to rescue a drug lord's kidnapped son.
s2073,TV Show,Extracurricular,South Korea,,"Kim Dong-hee, Jung Da-bin, Park Ju-hyun, Nam Yoon-su, Choi Min-soo, Kim Yeo-jin, Park Hyuk-kwon","April 29, 2020",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",1,A model high school student who's steeped in a world of serious crime finds his double life upended when a classmate takes an interest in his secret.
s2074,TV Show,Extras,"United Kingdom, United States",,"Ricky Gervais, Stephen Merchant, Ashley Jensen, Shaun Williamson, Shaun Pye","March 31, 2017",2006,TV-MA,2 Seasons,"British TV Shows, TV Comedies",1,"Grasping hungrily for stardom, bit actor Andy Millman and his pal Maggie spend their days chasing after work as film and TV extras."
s2075,TV Show,Extreme Engagement,,,"Tim Noonan, PJ Madam","July 12, 2019",2019,TV-MA,1 Season,"International TV Shows, Reality TV",1,An engaged couple travels the world for a year to explore marriage customs in diverse cultures. Will the journey bring them closer or tear them apart?
s2076,Movie,"Extremely Wicked, Shockingly Evil and Vile",United States,Joe Berlinger,"Zac Efron, Lily Collins, Kaya Scodelario, Jeffrey Donovan, Angela Sarafyan, Jim Parsons, John Malkovich, Haley Joel Osment, Dylan Baker, Brian Geraghty","May 3, 2019",2019,R,110 min,"Dramas, Independent Movies",1,Single mother Liz falls for Ted Bundy and refuses to believe the truth about his crimes for years. A drama based on a true story.
s2077,Movie,Extremis,United States,Dan Krauss,,"September 13, 2016",2016,TV-PG,25 min,Documentaries,1,"Witness the wrenching emotions that accompany end-of-life decisions as doctors, patients and families in a hospital ICU face harrowing choices."
s2078,Movie,Eye For An Eye,"Spain, France, United States",Paco Plaza,"Luis Tosar, Xan Cejudo, Ismael Martínez, Enric Auquer, María Vázquez, Daniel Currás, Rebeca Montero, Luisa Mayol, Jessica Serna, Tamara Canosa","January 15, 2020",2019,TV-MA,108 min,"Dramas, International Movies, Thrillers",1,"A cartel boss is released from prison and unknowingly put in the care of a vengeful nurse, whose life was tragically impacted by the drug lord."
s2079,Movie,Eyyvah Eyyvah,Turkey,Hakan Algül,"Demet Akbağ, Ata Demirer, Özge Borak, Bican Günalan, Salih Kalyon, Tanju Tuncel, Meray Ülgen","March 10, 2017",2010,TV-MA,99 min,"Comedies, International Movies",1,"A clarinet player who lives with his grandparents in a small village is forced to move to Istanbul, where he meets a singer enjoying sudden fame."
s2080,Movie,Eyyvah Eyyvah 2,Turkey,Hakan Algül,"Demet Akbağ, Ata Demirer, Özge Borak, Salih Kalyon, Tanju Tuncel, Meray Ülgen, Bican Günalan, Tarık Ünlüoğlu, Ayşenil Şamlıoğlu","March 10, 2017",2011,TV-PG,106 min,"Comedies, International Movies, Romantic Movies",1,"Hüseyin has found his father, and now has one more mission – to get together with the girl of his dreams, with a little help from his new friend."
s2081,Movie,Eyyvah Eyyvah 3,Turkey,Hakan Algül,"Demet Akbağ, Ata Demirer, Özge Borak, Salih Kalyon, Tanju Tuncel, Serra Yılmaz, Tarık Ünlüoğlu, Ayşenil Şamlıoğlu","March 10, 2017",2014,TV-PG,103 min,"Comedies, International Movies",1,"Life is tough for Hüseyin after marrying his true love. He works day and night to support his growing family, while singer Firuzan copes with fame."
s2082,TV Show,Ezel,Turkey,,"Kenan İmirzalıoğlu, Cansu Dere, Haluk Bilginer, Yiğit Özşener, Barış Falay, Burçin Terzioğlu, Bade İşçil, Sarp Akkaya, İpek Bilgin, Salih Kalyon, Tuncel Kurtiz, Sedef Avcı, Berrak Tüzünataç, İsmail Filiz","December 26, 2016",2009,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",1,A young man framed for a crime escapes a prison sentence by faking his own death and assuming a new identity as he seeks revenge.
s2083,TV Show,海的儿子,,,"Li Nanxing, Christopher Lee, Jesseca Liu, Apple Hong, Jeanette Aw","April 27, 2018",2016,TV-14,1 Season,"International TV Shows, TV Dramas",1,"Two brothers start a new life in Singapore, where they run into a childhood friend who falls in love with the elder while attracting the younger."
s2084,TV Show,F is for Family,"United States, France, Canada",,"Bill Burr, Laura Dern, Justin Long, Debi Derryberry, Sam Rockwell","June 12, 2020",2020,TV-MA,4 Seasons,TV Comedies,1,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV."
s2085,Movie,F the Prom,United States,Benny Fine,"Cameron Palatas, Richard Karn, Cheri Oteri, Danielle Campbell, Nicholle Tom, Joel Courtney, Luke Bilyk","March 5, 2018",2017,TV-MA,92 min,"Comedies, Romantic Movies",1,"Maddy and Cole were inseparable before high school. Then she got popular; he didn't. But after Maddy is betrayed, she and Cole reunite – to ruin prom."
s2086,Movie,F.R.E.D.I.,United States,Sean Olson,"Kelly Hu, Angus Macfadyen, Candace Cameron Bure, Lucius Hoyos, Reid Miller, Tyler Christopher, Casimere Jollette, Christina Cox, Texas Battle, Harvey Guillen","December 15, 2018",2018,TV-PG,90 min,"Children & Family Movies, Sci-Fi & Fantasy",1,"Venturing into the woods, high schooler James discovers an intelligent robot that he must save from the hands of a businessman with an evil scheme."
s2087,Movie,Fabrizio Copano: Solo pienso en mi,Chile,"Rodrigo Toro, Francisco Schultz",Fabrizio Copano,"September 8, 2017",2017,TV-MA,60 min,Stand-Up Comedy,1,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more."
s2088,TV Show,Fabulous Lives of Bollywood Wives,India,,,"November 27, 2020",2020,TV-MA,1 Season,"International TV Shows, Reality TV",1,"Cameras follow the banter and bonding between four fun-loving women from Bollywood’s inner circle as they juggle professions, family and friendship."
s2089,Movie,Face 2 Face,United States,Matt Toronto,"Daniela Bobadilla, Daniel Amerman, Kevin McCorkle, Mary Gordon Murray, Emily Jordan, Karrie Cox, Nicholas James Reilly, Enspirit, Sheldon A. Smith, Michael Soulema","January 15, 2018",2017,TV-MA,89 min,"Dramas, Independent Movies",1,"Two former friends, who now live far apart, learn about each other's insecurities and secrets over a series of video chats."
s2090,Movie,Fadily Camara : La plus drôle de tes copines,France,Gautier & Leduc,Fadily Camara,"November 14, 2019",2019,TV-MA,54 min,Stand-Up Comedy,1,"Irrepressible French comedian Fadily Camara weaves jokes, vivid characters and physical comedy into a lively stand-up show at La Cigale in Paris."
s2091,TV Show,Fairy Tail,Japan,,"Tetsuya Kakihara, Aya Hirano, Rie Kugimiya, Yuichi Nakamura, Sayaka Ohara, Satomi Sato, Yui Horie, Hiroki Yasumoto, Ryoko Ono, Hiroki Touchi, Shinpachi Tsuji, Wataru Hatano, Mai Nakahara, Katsuyuki Konishi, Eri Kitamura, Todd Haberkorn, Cherami Leigh, Tia Lynn Ballard, Newton Pittman, Colleen Clinkenbeard, Brittney Karbowski, Jad Saxton, Christopher R. Sabat, Monica Rial, Rick Keeling, R. Bruce Elliott, David Wald, Brina Palencia, Patrick Seitz, Jamie Marchi","April 1, 2017",2009,TV-MA,1 Season,"Anime Series, International TV Shows",1,"When four young wizards team up to take jobs across the kingdom, they forge a bond more powerful than any magic and grow stronger with every mission."
s2092,Movie,"Faith, Hope & Love",United States,Robert Krantz,"Robert Krantz, Peta Murgatroyd, Corbin Bernsen, Michael Richards, Nancy Stafford","February 4, 2020",2019,PG,106 min,"Comedies, Faith & Spirituality, Romantic Movies",1,"After shattering losses, a recent divorcée and a heartbroken widower restore their lives when they partner for a dance competition to save her studio."
s2093,TV Show,Fake or Fortune?,United Kingdom,,"Fiona Bruce, Philip Mould, Bendor Grosvenor","July 26, 2019",2015,TV-G,1 Season,"British TV Shows, Crime TV Shows, Docuseries",1,Fiona Bruce and Philip Mould use investigative skills and scientific techniques to determine if paintings are real or just impressive forgeries.
s2094,Movie,Fakkah Fuzz: Almost Banned,Singapore,Michael McKay,Fakkah Fuzz,"January 26, 2018",2018,TV-MA,61 min,Stand-Up Comedy,1,Stand-up comic Fakkah Fuzz mines cross-cultural humor from the experience of growing up as an outspoken Malay man in Singapore.
s2095,Movie,Fakta Ladh Mhana,India,Sanjay Jadhav,"Sachin Khedekar, Bharat Jadhav, Aniket Vishwasrao, Siddarth Jadhav, Sanjay Narvekar, Vaibhav Mangale, Santosh Juvekar, Sanjay Khapre, Mahesh Manjrekar","February 15, 2018",2011,TV-14,150 min,"Action & Adventure, Dramas, International Movies",1,"A young man enlists the help of his friends to avenge his uncle's death by taking on a powerful, unscrupulous politician."
s2096,Movie,Fall Girls,United States,Chris Stokes,"Amara La Negra, Erica Hubbard, Joely Fisher, Paris Phillips, Erica Peeples, Tami Roman, Alfred Thomas II, J-Boog, Hunter Ives, Dylan Mooney","January 1, 2020",2019,TV-14,80 min,Comedies,1,"Following a night of hard partying that left their tycoon boss dead, four women try to keep it a secret in hopes of closing a billion-dollar deal."
s2097,TV Show,Fall in Love with Me,Taiwan,,"Aaron Yan, Tia Lee, Jack Lee, Katherine Wang, Beatrice Fang, Vince Kao, Chen Bor Jeng","October 1, 2016",2014,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",1,The head of a struggling ad agency finds herself torn between a hotshot executive and a kind stranger – not realizing they're the same person.
s2098,Movie,Fallen,United States,Gregory Hoblit,"Denzel Washington, John Goodman, Donald Sutherland, Embeth Davidtz, James Gandolfini, Elias Koteas, Gabriel Casseus, Michael J. Pagan, Robert Joy","November 1, 2019",1998,R,124 min,Thrillers,1,A tough homicide cop faces his most dangerous assignment when he must stop a murderous evil spirit who can move from one host to the next.
s2099,TV Show,Fallet,Sweden,,"Lisa Henni, Adam Godley, Tomas von Brömssen, Lia Boysen, Christoffer Nordenrot, Stina Rautelin, Erik Madsen, Magnus Krepper, Meliz Karlge, Linda Nilarve, Björn Granath, Richenda Carey, Dag Malmberg","April 1, 2018",2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Comedies",1,A Swedish detective and her timid British colleague's attempt to solve a gruesome murder case nets mixed results and miscommunication.
s2100,Movie,Falling Inn Love,United States,Roger Kumble,"Christina Milian, Adam Demos, Jeffrey Bowyer-Chapman, Anna Jullienne, Claire Chitham, Blair Strang, Jonathan Martin, William Walker, Daniel Watterson, Simone Walker","August 29, 2019",2019,TV-PG,98 min,"Comedies, Romantic Movies",1,"When a San Francisco exec wins a New Zealand inn, she ditches city life to remodel and flip the rustic property with help from a handsome contractor."
s2101,TV Show,Falsa identidad,"Mexico, United States",,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas","June 1, 2019",2018,TV-MA,1 Season,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",1,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.
s2102,Movie,Falz Experience,,Falz,"Falz, Adunni Ade, Bisola Aiyeola, Frank Donga","December 20, 2019",2018,TV-MA,82 min,"International Movies, Music & Musicals",1,"Playing multiple characters, from lawyer to preacher, Nigerian artist Falz combines cinema with a concert after his successful 2017 end-of-year show."
s2103,TV Show,Familiar Wife,South Korea,,"Ji Sung, Han Ji-min, Kang Han-na, Jang Seung-jo","October 1, 2020",2018,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",1,"After receiving a bizarre chance to go back in time, a man wakes up to find that his whole life — including the person he married — is different."
s2104,Movie,Familiye,Germany,"Sedat Kirtan, Kubilay Sarikaya","Kubilay Sarikaya, Arnel Taci, Muhammed Kirtan, Violetta Schurawlow, Burak Yiğit, Giwar Xatar Hajabi, Ridvan Kirtan, Ilhan Erdinc, Michael Hanemann, Sedat Kirtan","May 1, 2019",2017,TV-MA,99 min,"Dramas, Independent Movies, International Movies",1,"An ex-con struggles to take care of his two brothers, a gambling addict and a young man with Down syndrome, after being released from prison."
s2105,Movie,Family Blood,United States,Sonny Mallhi,"James Ransone, Vinessa Shaw, Ajiona Alexus, Colin Ford","May 5, 2018",2018,TV-MA,92 min,Horror Movies,1,"A former addict moves to a new city with her children for a fresh start, but her struggle soon takes on an unexpected, supernatural dimension."
s2106,TV Show,Family Business,France,,"Jonathan Cohen, Gérard Darmon, Julia Piaton, Liliane Rovère, Olivier Rosemberg, Ali Marhyar, Lina El Arabi, Louise Coldefy, Enrico Macias, Valérie Damidot","September 11, 2020",2020,TV-MA,2 Seasons,"International TV Shows, TV Comedies, TV Dramas",1,"After learning France is about to legalize pot, a down-on-his-luck entrepreneur and his family race to turn their butcher shop into a marijuana café."
s2107,TV Show,Family Reunion,United States,,"Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey, Cameron J. Wright, Jordyn Raya James, Richard Roundtree","January 20, 2020",2020,TV-PG,2 Seasons,"Kids' TV, TV Comedies",1,"When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways."
s2108,Movie,Famous in Ahmedabad,India,Hardik Mehta,,"December 15, 2016",2015,TV-14,29 min,"Documentaries, International Movies",1,Follow an 11-year-old boy as he goes from ordinary child to colorful competitor in his quest for a big win at India’s biggest kite-flying festival.
s2109,Movie,Fan of Amoory,United Arab Emirates,Salmeen AlMurry Amer,"AlMulla AbdulRahman, Mansour Al Felei, Abdullah Bin Heider, Alhamadi Hamad, Alzaabi Matar, AlBloushi Mayed, Althogali Saif, Alaa Shakir","May 14, 2020",2018,TV-G,109 min,"Children & Family Movies, Dramas, International Movies",1,"Inspired by his idol Omar Abdulrahman, a young boy navigates obstacles as he chases his dream of becoming a professional soccer player."
s2110,Movie,Fanatic,United States,Keith L. Smith,"Denyce Lawton, Hosea Chanchez, Michelle Mitchenor, Darius McCrary, Shawne Merriman, Sticky Fingaz, Miguel A. Núñez Jr., Masika Kalysha, Zac Titus","August 24, 2019",2019,TV-14,91 min,Thrillers,1,"When a successful young rap star has an affair with an obsessive fan, his life is turned upside down when she kidnaps him."
s2111,Movie,Fanatyk,Poland,Michał Tylka,"Piotr Cyrwus, Mikołaj Kubacki, Anna Radwan, Marian Dziędziel, Jan Nowicki, Juliusz Chrząstowski, Małgorzata Krzysica, Jacek Strama","February 14, 2020",2017,TV-MA,33 min,"Comedies, Dramas, Independent Movies",1,"As a son deals with his own struggles, he must calm his father's obsession with fishing before his outlandish behavior ruins the entire family."
s2112,Movie,Fandry,India,Nagraj Manjule,"Somnath Awghade, Suraj Pawar, Chhaya Kadam, Kishore Kadam, Rajeshwari Kharat, Bhushan Manjule, Nagraj Manjule, Sohail Shaikh, Sanjay Chaudhri, Vikas Pandurang Patil","January 1, 2018",2014,NR,102 min,"Dramas, Independent Movies, International Movies",1,"Spunky, lower-caste lad Jabya falls for lovely, upper-caste Shalu. But his family's derided social position proves a stubborn stumbling block to love."
s2113,TV Show,Fangbone,Canada,,"Taylor Abrahamse, Colin Doyle, Juan Chioran, Kathleen Laskey, Stacey DePass, Mike Kiss","April 22, 2017",2016,TV-Y7,1 Season,"Kids' TV, TV Comedies",1,"Magically transported from far-off Skullbania, a young barbarian teams up with an odd third-grader to protect his homeland from an evil sorcerer."
s2114,Movie,Fantastica,Philippines,Barry Gonzalez,"Vice Ganda, Richard Gutierrez, Dingdong Dantes, Bela Padilla","November 26, 2020",2018,TV-PG,114 min,"Comedies, International Movies, LGBTQ Movies",1,The owner of a struggling carnival starts putting on small-time shows to save his wonderland as an old friend asks for help with a magical mission.
s2115,Movie,Faraar,Australia,Baljit Singh Deo,"Kainaat Arora, Jaggi Singh, Gippy Grewal","December 1, 2018",2015,TV-14,146 min,"Action & Adventure, Dramas, International Movies",1,"When a man is arrested on arrival in America because authorities mistake him for a wanted gangster, a new friend tries to help him prove his innocence."
s2116,Movie,Farce,Egypt,Shadi Ali,"Ahmed Fathy, Bayoumi Fouad, Sami Maghouri, Mohammed Tharwat, Mohamed Salam, Haya Ibrahim, Mohsen Mansour","June 6, 2019",2017,TV-MA,94 min,"Comedies, International Movies",1,"A beauty expert, a drug dealer and a bungling revolutionary end up in the grips of an extremist group after meeting on a plane to Lebanon."
s2117,TV Show,Fartsa,Russia,,"Alexander Petrov, Fillip Gorenshtein, Maksim Emelyanov, Aleksey Vesyolkin, Zoya Berber, Ieva Andrejevaite","August 1, 2017",2015,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",1,"As four Russian friends grow up in the early '60s, life, love and the curse of success threaten to derail their dreams."
s2118,TV Show,Fary : Hexagone,France,"Adrien Lagier, Ousmane Ly",Fary,"April 16, 2020",2020,TV-MA,2 Seasons,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",1,"French comedy phenom Fary puts a playful spin on questions of identity, culture and more in the first half of an epic two-part stand-up special."
s2119,Movie,Fary Is the New Black,France,Kader Aoun,Fary,"April 3, 2018",2018,TV-MA,75 min,Stand-Up Comedy,1,"Armed with sly wit, a fresh outlook and plenty of style, French comedy star Fary veers from dating to stereotypes and beyond in this exclusive special."
